Date,Units,Assets
2023-11-30,152505999,4950345.00
2023-12-03,152533270,4987838.00
2023-12-04,152543195,4889009.00
2023-12-05,151269828,4875427.00
2023-12-06,151115694,4865925.00
2023-12-07,151139884,4837988.00
2023-12-10,151086211,4883106.00
2023-12-11,151058152,4829329.00
2023-12-12,151029333,4807264.00
2023-12-13,151031717,4805829.00
2023-12-14,151185744,4822825.00
2023-12-17,151188321,4848609.00
2023-12-18,151196936,4963795.00
2023-12-19,151933375,4974299.00
2023-12-20,152822436,5131777.00
2023-12-21,153842424,5139875.00
2023-12-24,154874375,5185194.00
2023-12-25,155748758,5287670.00
2023-12-26,156609381,5230753.00
2023-12-27,157190113,5320885.00
2023-12-28,158380682,5305753.00
2023-12-31,159811247,5403218.00
2024-01-01,160859909,5496583.00
2024-01-02,160831929,5489194.00
2024-01-03,160851357,5435167.00
2024-01-04,161050758,5470894.00
2024-01-07,161094064,5428870.00
2024-01-08,161065563,5423078.00
2024-01-09,161077671,5326839.00
2024-01-10,161091666,5219370.00
2024-01-11,159525713,5222872.00
2024-01-14,159581089,5213514.00
2024-01-15,159628075,5197490.00
2024-01-16,160497822,5119881.00
2024-01-17,160535659,5090586.00
2024-01-18,160997293,5180893.00
2024-01-21,161013851,5136342.00
2024-01-22,160949268,5052198.00
2024-01-23,160920226,5027148.00
2024-01-24,161079532,5099778.00
2024-01-25,161154029,5044121.00
2024-01-28,161216920,5221816.00
2024-01-29,162087713,5306752.00
2024-01-30,163064752,5342001.00
2024-01-31,164009444,5354908.00
2024-02-01,164920004,5288985.00
2024-02-04,164951370,5263598.00
2024-02-05,165006368,5238952.00
2024-02-06,165057929,5331371.00
2024-02-07,165080770,5308998.00
2024-02-08,165040884,5296162.00
2024-02-11,165218331,5179595.00
2024-02-12,164869481,5219768.00
2024-02-13,164850631,5354348.00
2024-02-14,164745461,5281739.00
2024-02-15,164715662,5239605.00
2024-02-18,164715964,5269264.00
2024-02-19,164713497,5361424.00
2024-02-20,164696517,5383929.00
2024-02-21,173054053,5653676.00
2024-02-22,173019206,5699253.00
2024-02-25,173021917,5813536.00
2024-02-26,172985519,5819233.00
2024-02-28,172882430,5869358.00
2024-02-29,174592998,6039172.00
2024-03-03,175422794,6064366.00
2024-03-04,175422329,5985410.00
2024-03-05,175326856,5950593.00
2024-03-06,175300009,5981236.00
2024-03-07,175318046,5920490.00
2024-03-10,175329659,5889323.00
2024-03-11,175334607,5875463.00
2024-03-12,175336016,5738748.00
2024-03-13,172902863,5666027.00
2024-03-14,169563344,5495548.00
2024-03-17,169868925,5654937.00
2024-03-18,169787704,5686190.00
2024-03-19,169771253,5714500.00
2024-03-20,153712555,5212393.00
