Date,Units,Assets
2023-04-27,2125220,149934.00
2023-04-30,2118925,152245.00
2023-05-01,2117006,156616.00
2023-05-02,2119559,156678.00
2023-05-03,2108827,158795.00
2023-05-04,2107179,162042.00
2023-05-07,2108218,162691.00
2023-05-08,2109329,160077.00
2023-05-09,2104438,155728.00
2023-05-10,2105548,160001.00
2023-05-11,2106216,163105.00
2023-05-14,2098910,162917.00
2023-05-15,2095523,164142.00
2023-05-16,2092805,158216.00
2023-05-17,2086808,158764.00
2023-05-18,2084606,158013.00
2023-05-21,2082334,156612.00
2023-05-22,2083009,157184.00
2023-05-23,2085330,151916.00
2023-05-24,2069628,150586.00
2023-05-28,2064791,149677.00
2023-05-29,2064781,148293.00
2023-05-30,2059758,148632.00
2023-05-31,2055092,148686.00
2023-06-01,2053911,146218.00
2023-06-04,2051620,149789.00
2023-06-05,2047760,151063.00
2023-06-06,2046744,151643.00
2023-06-07,2043221,155121.00
2023-06-08,2044721,155583.00
2023-06-11,2047504,157555.00
2023-06-12,2049370,160999.00
2023-06-13,2050612,161855.00
2023-06-14,2051193,160937.00
2023-06-15,2052196,165386.00
2023-06-18,2067016,168544.00
2023-06-19,2090010,169312.00
2023-06-20,2089295,169170.00
2023-06-21,2084916,167940.00
2023-06-22,2106151,165459.00
2023-06-25,2121607,164488.00
2023-06-26,2120528,165232.00
2023-06-27,2114046,163289.00
2023-06-28,2112070,160771.00
2023-06-29,2111352,162088.00
2023-07-02,2118657,165255.00
2023-07-03,2126426,166372.00
2023-07-04,2133127,169029.00
2023-07-05,2140542,173983.00
2023-07-06,2163931,173634.00
2023-07-09,2170255,169236.00
2023-07-10,2175120,170595.00
2023-07-11,2181377,173725.00
2023-07-12,2180767,176599.00
2023-07-13,2181563,176685.00
2023-07-16,2178776,177636.00
2023-07-17,2176789,178671.00
2023-07-18,2182306,182572.00
2023-07-19,2186357,186234.00
2023-07-20,2184404,183730.00
2023-07-23,2183969,186205.00
2023-07-24,2179012,175846.00
2023-07-25,2174595,169379.00
2023-07-26,2170271,172428.00
2023-07-30,2171087,176032.00
2023-07-31,2168756,176233.00
2023-08-01,2176429,177292.00
2023-08-02,2172551,174087.00
2023-08-03,2177201,171716.00
2023-08-06,2177004,173442.00
2023-08-07,2176171,174942.00
2023-08-08,2175292,173327.00
2023-08-09,2174891,175644.00
2023-08-10,2176485,178472.00
2023-08-13,2194255,175518.00
2023-08-14,2196434,175759.00
2023-08-15,2196578,173618.00
2023-08-16,2200879,172373.00
2023-08-17,2200762,172034.00
2023-08-20,2196779,170163.00
2023-08-21,2193819,171250.00
2023-08-22,2191415,171895.00
2023-08-23,2192329,173764.00
2023-08-24,2201375,174679.00
2023-08-27,2197779,173581.00
2023-08-28,2196047,173576.00
2023-08-29,2197247,170616.00
2023-08-30,2195551,170880.00
2023-08-31,2205412,171316.00
2023-09-03,2203160,171604.00
2023-09-04,2204486,168709.00
2023-09-05,2200417,170752.00
2023-09-06,2195341,170798.00
2023-09-07,2191413,167731.00
2023-09-10,2181929,168052.00
2023-09-11,2174103,168689.00
2023-09-12,2166428,168548.00
2023-09-13,2163039,168003.00
2023-09-14,2166291,167758.00
2023-09-18,2171253,169075.00
2023-09-19,2163714,170198.00
2023-09-20,2150962,172679.00
2023-09-21,2142864,170851.00
2023-09-26,2147362,169942.00
2023-09-27,2149169,169935.00
2023-09-28,2148711,169791.00
2023-10-01,2146878,172673.00
2023-10-02,2146828,173292.00
2023-10-03,2144057,172125.00
2023-10-04,2148437,168781.00
2023-10-05,2156464,168894.00
2023-10-08,2158482,156382.00
2023-10-09,2162890,154365.00
2023-10-10,2164996,156854.00
2023-10-11,2152250,153176.00
2023-10-12,2149959,154023.00
2023-10-15,2145224,147978.00
2023-10-16,2141302,153210.00
2023-10-17,2153030,150669.00
2023-10-18,2151594,150332.00
2023-10-19,2150192,147890.00
2023-10-22,2144457,144987.00
2023-10-23,2197573,146798.00
2023-10-24,2269265,151927.00
2023-10-25,2264345,151077.00
2023-10-26,2290595,150217.00
2023-10-29,2288087,153325.00
2023-10-30,2418847,166199.00
2023-10-31,2682989,185636.00
2023-11-01,2771027,196383.00
2023-11-02,2994704,218673.00
2023-11-05,3313816,246747.00
2023-11-06,3367784,248441.00
2023-11-07,3373223,252621.00
2023-11-08,3391592,255726.00
2023-11-09,3537393,263748.00
2023-11-12,3552871,258933.00
2023-11-13,3553344,252358.00
